,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Exposure,BsmtFin SF 1,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Kitchen Qual,Functional,Fireplaces,Fireplace Qu,Garage Area,Land Contour_HLS,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Roof Style_Hip,Exterior 1st_BrkFace,Sale Type_New,bath_agg,Id,SalePrice
16,4571,5,1916,1950,0.0,1,2,1,0.0,624.0,1,624,1344,2,7,0,0,513.0,0,0,0,0,0,0,0,1.0,1311,98000.0
17,8816,5,1963,1963,0.0,1,2,1,651.0,1121.0,2,1121,1121,2,7,0,0,480.0,0,0,0,0,0,0,0,2.0,770,139000.0
18,8197,6,1977,1977,148.0,1,2,1,0.0,660.0,4,1285,1285,2,7,1,2,528.0,0,0,0,0,0,0,0,2.0,2063,143500.0
19,8640,7,2009,2009,0.0,1,3,2,24.0,756.0,4,764,1547,3,7,0,0,614.0,0,0,0,0,0,0,0,3.0,69,215200.0
20,8724,5,1968,1968,0.0,1,3,1,492.0,894.0,3,894,894,2,7,1,-1,450.0,0,0,0,0,0,0,0,1.0,2062,129000.0
21,5664,8,2000,2000,0.0,2,3,1,1158.0,1501.0,4,1659,1659,4,7,1,4,499.0,0,0,0,1,0,0,0,3.0,351,278000.0
22,12867,8,2005,2006,0.0,2,4,2,0.0,1209.0,4,1209,2253,4,7,1,3,575.0,0,0,1,0,0,0,1,3.0,2393,344133.0
23,7980,6,1992,2007,0.0,1,3,1,935.0,1168.0,4,1187,1187,2,7,0,0,420.0,0,0,0,0,0,0,0,3.0,12,185000.0
24,34650,5,1955,1955,0.0,1,2,2,1056.0,1056.0,2,1056,1056,2,7,0,0,572.0,0,0,0,0,1,0,0,2.0,2339,145000.0
25,10573,6,1961,1961,3.0,1,2,1,1312.0,1453.0,4,1453,1453,2,7,1,2,530.0,0,0,0,0,1,0,0,3.0,624,187500.0
26,8450,5,1965,2009,0.0,1,2,1,553.0,894.0,4,894,894,2,7,1,3,336.0,0,0,0,0,0,0,0,2.0,86,138500.0
27,11700,5,1937,1995,0.0,1,2,1,606.0,942.0,4,1265,1938,3,5,1,3,240.0,1,0,0,0,0,0,0,2.0,1534,198000.0
28,8250,5,1895,2006,0.0,1,2,1,0.0,957.0,1,1034,1991,2,7,0,0,0.0,0,0,0,0,0,0,0,2.0,2243,119600.0
29,8064,5,1949,2006,0.0,1,2,2,0.0,672.0,4,672,924,2,7,1,-1,576.0,0,0,0,0,0,0,0,1.0,1957,122900.0
30,9600,8,1981,1981,0.0,2,3,1,1104.0,2524.0,2,2524,2524,3,7,1,3,542.0,0,0,0,0,1,1,0,4.0,380,278000.0
31,11435,8,1929,1950,0.0,1,3,1,0.0,792.0,1,792,1517,3,7,2,3,400.0,1,0,0,0,0,1,0,1.0,2860,230000.0
32,9549,8,1995,1996,0.0,2,3,2,437.0,1494.0,4,1494,1494,4,7,1,3,481.0,0,0,0,0,1,1,0,3.0,2517,270000.0
33,10950,6,1952,1952,0.0,1,2,1,441.0,948.0,2,948,948,2,7,0,0,410.0,0,0,0,0,1,0,0,1.0,1933,125000.0
34,10637,8,2007,2008,336.0,2,4,3,1288.0,1705.0,4,1718,1718,3,7,1,3,826.0,0,0,0,0,1,0,0,3.0,820,297000.0
35,9000,6,1958,1958,82.0,1,3,3,0.0,160.0,1,1142,1142,2,7,1,3,384.0,1,0,0,0,0,0,0,1.0,675,113500.0
36,2665,5,1977,1977,0.0,1,2,1,548.0,757.0,4,925,1475,2,7,1,2,336.0,0,0,0,0,0,0,0,2.0,2910,127000.0
37,11751,6,1977,1977,480.0,1,3,1,705.0,1844.0,4,1844,1844,2,7,1,2,546.0,0,0,0,0,1,0,0,2.0,21,190000.0
38,9600,7,1973,1973,320.0,1,2,1,916.0,1242.0,1,1242,1242,2,7,1,2,528.0,0,0,0,0,1,0,0,2.0,1873,175500.0
39,8428,5,1994,1994,0.0,1,3,1,420.0,990.0,4,990,990,2,7,0,0,384.0,0,0,0,0,0,0,0,2.0,2125,146000.0
40,9937,5,1965,1965,0.0,2,2,1,830.0,1256.0,3,1256,1256,2,7,0,0,276.0,0,0,0,0,0,0,0,3.0,1489,147500.0
41,13891,10,2006,2006,0.0,3,4,3,1386.0,2076.0,4,2076,2076,4,7,1,3,850.0,0,0,1,0,0,0,1,4.0,2383,465000.0
42,9101,5,1978,1978,104.0,1,3,2,1097.0,1097.0,4,1110,1110,3,7,1,2,602.0,0,0,0,0,0,0,0,2.0,983,165500.0
43,12150,5,1954,1954,335.0,1,2,1,0.0,1050.0,4,1050,1795,2,7,0,0,352.0,0,0,0,0,0,0,0,2.0,1325,131500.0
44,11200,5,1965,1965,0.0,1,2,1,906.0,1040.0,4,1040,1040,2,7,0,0,384.0,0,0,0,0,1,0,0,2.0,1378,129500.0
45,9670,8,1935,1950,40.0,1,2,1,210.0,608.0,2,983,1873,2,7,2,3,786.0,1,0,0,0,0,1,0,2.0,1537,257076.0
46,10998,5,1941,1960,0.0,1,2,1,408.0,984.0,4,984,1604,2,5,0,0,660.0,0,0,0,0,0,0,0,2.0,905,117000.0
47,7200,7,1931,2000,0.0,1,3,1,0.0,776.0,2,851,1502,2,7,1,3,270.0,1,0,0,0,0,0,0,2.0,1532,149000.0
48,9920,5,1954,1954,110.0,1,2,1,354.0,1056.0,2,1063,1063,2,7,0,0,280.0,0,0,0,0,0,0,0,2.0,132,128000.0
49,2448,7,2003,2004,106.0,2,3,1,0.0,764.0,4,764,1626,3,7,0,0,474.0,0,0,1,0,0,0,0,3.0,1078,155000.0
50,2998,6,2000,2000,513.0,2,3,1,353.0,756.0,4,768,1524,3,7,0,0,440.0,0,0,0,0,0,0,0,3.0,2511,166000.0
51,7804,4,1928,1950,0.0,1,2,1,622.0,1122.0,2,1328,1981,3,5,2,2,576.0,0,0,0,0,0,0,0,3.0,912,135000.0
52,16692,7,1978,1978,184.0,1,3,1,790.0,1392.0,2,1392,2784,3,7,2,2,564.0,0,0,0,0,0,0,0,5.0,2351,250000.0
53,1476,4,1970,1970,0.0,1,2,1,176.0,546.0,4,546,1092,2,7,0,0,0.0,0,0,0,0,0,0,0,2.0,330,76000.0
54,10170,6,1951,1951,522.0,1,2,1,0.0,216.0,2,1575,1575,3,7,1,3,400.0,0,0,0,0,1,0,0,2.0,2586,155000.0
55,9364,6,1969,1969,143.0,1,2,1,371.0,663.0,2,663,1352,2,7,0,0,299.0,0,0,0,0,0,0,0,2.0,224,158000.0
56,2544,7,2004,2005,0.0,2,3,1,368.0,600.0,4,600,1200,3,7,0,0,480.0,0,0,0,0,0,0,0,4.0,98,149500.0
57,9888,5,1954,1975,0.0,1,2,1,486.0,936.0,2,936,936,2,7,0,0,240.0,0,0,0,0,0,0,0,1.0,2565,121000.0
58,7942,6,1953,1953,0.0,1,2,1,85.0,1040.0,2,1040,1040,2,7,0,0,293.0,0,0,0,0,1,0,0,2.0,1934,136000.0
59,15038,6,1996,1996,0.0,1,3,1,138.0,916.0,3,916,1636,2,7,1,2,386.0,0,0,0,0,0,0,0,3.0,997,173000.0
60,11764,8,1999,2007,348.0,2,3,1,524.0,1152.0,4,1164,2270,3,7,1,3,671.0,0,1,0,0,0,0,0,3.0,64,290000.0
61,9000,8,2007,2007,0.0,2,3,2,64.0,1184.0,4,1184,2610,4,7,1,3,550.0,0,0,0,0,0,0,1,3.0,1799,303477.0
62,20062,7,1977,2001,0.0,2,3,3,1092.0,1420.0,3,1483,1483,2,7,2,2,690.0,0,0,0,0,1,0,0,3.0,230,270000.0
63,7308,5,1920,1950,0.0,0,2,1,360.0,936.0,3,960,1740,4,7,1,3,225.0,0,0,0,0,0,0,0,1.0,1295,122250.0
64,8750,5,1955,1955,0.0,1,2,1,172.0,1382.0,3,1382,1382,3,7,0,0,350.0,0,0,0,0,0,0,0,2.0,638,153000.0
65,8402,5,2007,2007,0.0,1,3,1,206.0,1120.0,4,1120,1120,2,7,0,0,0.0,0,0,0,0,0,0,1,1.0,2278,147000.0
66,4000,7,1930,1995,0.0,1,3,1,246.0,531.0,2,567,1098,2,7,1,3,216.0,0,0,0,0,0,0,0,2.0,2202,148500.0
67,3363,7,2004,2004,117.0,2,3,1,0.0,976.0,4,976,1708,3,3,0,0,380.0,0,0,0,0,0,0,0,2.0,2833,130000.0
68,13615,9,2006,2006,510.0,3,4,3,0.0,1802.0,4,1802,1802,4,7,1,3,843.0,1,0,1,0,1,0,0,3.0,1707,372000.0
69,3013,7,2005,2005,145.0,2,3,3,16.0,1362.0,4,1506,1506,3,7,1,3,440.0,0,0,0,0,0,0,0,2.0,2428,213490.0
70,17485,7,2009,2010,96.0,2,3,3,1346.0,1508.0,4,1508,1508,3,7,2,2,572.0,0,0,0,0,0,0,0,2.0,242,308030.0
71,23730,7,1996,1997,668.0,2,4,2,700.0,1840.0,4,2032,2032,3,7,0,0,786.0,0,0,0,0,0,0,0,4.0,1564,300000.0
72,8910,6,1959,1959,0.0,1,2,2,655.0,655.0,4,1194,1194,2,7,1,1,539.0,0,0,0,0,1,1,0,2.0,2613,159500.0
73,2522,7,2004,2004,50.0,2,3,1,0.0,970.0,4,970,1709,3,3,0,0,380.0,0,0,0,0,0,0,0,2.0,2832,137500.0
74,8688,7,2005,2005,228.0,2,3,2,0.0,1616.0,4,1616,1616,3,7,0,0,834.0,0,0,0,0,0,0,0,2.0,2459,232000.0
75,6291,6,1930,1950,0.0,2,2,1,0.0,768.0,2,768,768,2,7,0,0,440.0,0,0,0,0,0,0,0,1.0,1360,93850.0
76,17529,5,1924,1950,65.0,1,2,1,0.0,872.0,1,872,872,1,4,1,3,322.0,0,0,0,0,0,1,0,1.0,2723,105000.0
77,6324,4,1927,1950,0.0,1,2,1,0.0,520.0,1,520,520,1,7,0,0,240.0,0,0,0,0,0,0,0,1.0,1350,68500.0
78,11600,5,1960,1960,361.0,1,2,1,443.0,1105.0,2,1105,2274,2,7,0,0,480.0,0,0,0,0,0,0,0,2.0,136,154300.0
79,7288,5,1925,2003,0.0,2,2,1,0.0,936.0,4,936,1601,2,7,0,0,0.0,0,0,0,0,0,0,0,2.0,2235,129850.0
80,4571,5,1910,1950,0.0,1,2,1,168.0,616.0,4,616,1232,2,7,0,0,480.0,0,0,0,0,0,0,0,1.0,1993,114000.0
81,17423,9,2008,2009,748.0,3,4,1,1904.0,2216.0,4,2234,2234,4,7,1,3,1166.0,0,0,0,1,1,0,1,3.0,367,501837.0
82,12665,5,1915,1950,0.0,1,2,2,0.0,876.0,3,876,1416,2,7,1,3,720.0,0,0,0,0,0,0,0,2.0,1309,153900.0
83,9000,4,1971,2006,0.0,1,2,1,240.0,864.0,3,864,864,2,7,0,0,576.0,0,0,0,0,0,0,0,1.0,402,130000.0
84,4500,6,1997,1997,197.0,1,4,1,864.0,1189.0,4,1189,1189,2,7,0,0,392.0,0,0,0,0,1,0,0,3.0,1592,160500.0
85,6373,9,2006,2006,572.0,3,4,1,415.0,1666.0,4,1666,1666,3,7,1,3,575.0,0,0,1,0,1,0,1,3.0,2409,310090.0
86,10083,7,2003,2003,0.0,2,3,1,833.0,1176.0,4,1200,1200,3,7,0,0,555.0,0,0,0,0,0,0,0,3.0,539,184900.0
87,13300,5,1956,2000,0.0,1,3,1,377.0,928.0,2,928,928,2,7,0,0,252.0,0,0,0,0,1,0,0,1.0,1940,132000.0
88,9600,5,1969,1969,128.0,1,3,2,553.0,1288.0,2,1336,1336,2,7,1,1,502.0,0,0,0,0,0,0,0,3.0,588,163000.0
89,3215,7,2004,2004,120.0,2,3,2,280.0,600.0,4,600,1200,3,7,0,0,480.0,0,0,0,0,0,0,0,3.0,96,155000.0
90,11104,6,1969,1969,0.0,1,2,2,828.0,1427.0,3,1427,1427,2,7,0,0,516.0,0,0,0,0,0,0,0,3.0,1187,183000.0
91,15295,7,1996,2002,254.0,2,3,2,762.0,860.0,4,1212,1992,3,5,2,2,608.0,0,0,0,0,0,0,0,4.0,2154,211000.0
92,9109,7,1994,1994,0.0,2,3,1,36.0,754.0,4,754,1540,3,7,0,0,495.0,0,0,0,0,0,0,0,4.0,550,184000.0
93,7018,5,1979,1979,0.0,1,0,1,0.0,0.0,2,1535,1535,2,7,0,0,400.0,0,0,0,0,0,0,0,2.0,811,118858.0
94,14112,5,1964,1964,86.0,1,2,2,1014.0,1152.0,2,1152,1152,2,7,1,3,484.0,0,0,0,0,1,0,0,2.0,124,180500.0
95,3523,8,2006,2007,30.0,2,3,1,60.0,1141.0,4,1151,1151,3,7,0,0,484.0,0,0,0,0,0,0,1,3.0,1836,166000.0
96,15312,6,1960,1960,54.0,1,2,2,588.0,1138.0,4,1138,1138,2,7,1,2,480.0,0,0,0,0,1,0,0,2.0,779,148000.0
97,7450,5,1956,1956,0.0,1,2,1,438.0,894.0,3,1074,1074,3,6,1,3,396.0,0,0,0,0,1,0,0,1.0,1886,124000.0
98,7313,9,2005,2005,246.0,3,4,1,1153.0,1561.0,4,1561,1561,4,7,1,3,556.0,0,0,1,0,1,0,0,3.0,1724,277500.0
99,10019,8,1995,1995,397.0,2,3,1,527.0,1342.0,4,1358,2726,3,7,1,4,725.0,0,1,0,0,1,0,0,3.0,2450,350000.0
100,15401,9,2004,2004,296.0,3,4,3,1337.0,1884.0,4,1884,1884,4,7,1,3,670.0,1,0,0,1,1,0,0,3.0,1013,387000.0
101,9098,4,1920,2002,0.0,1,2,2,348.0,528.0,4,605,605,2,7,0,0,0.0,0,0,0,0,0,0,0,2.0,2084,86000.0
102,16280,8,1976,2007,0.0,3,3,2,1044.0,1426.0,4,1671,1671,4,7,1,3,550.0,0,0,0,0,0,0,0,4.0,1184,290000.0
103,9392,3,1900,1950,0.0,1,1,1,0.0,245.0,2,797,797,2,7,0,0,0.0,0,0,0,0,0,0,0,1.0,728,44000.0
104,12209,6,2001,2002,0.0,1,4,1,690.0,804.0,4,804,1961,3,7,1,2,560.0,0,0,0,0,0,0,0,4.0,950,215000.0
105,13110,5,1972,1972,144.0,1,3,1,962.0,1153.0,4,1193,1193,2,7,0,0,501.0,0,0,0,0,0,0,0,3.0,2524,146500.0
106,2651,7,2000,2000,0.0,2,3,1,641.0,673.0,4,673,1382,3,7,0,0,490.0,0,0,0,0,0,0,0,4.0,2513,165000.0
107,8520,6,1916,1950,0.0,1,2,1,168.0,714.0,2,1664,2526,3,7,1,3,216.0,0,0,0,0,0,0,0,2.0,2028,136000.0
108,39384,6,1957,1957,902.0,1,3,3,1110.0,1705.0,4,1390,1390,4,6,2,3,550.0,0,0,0,0,0,0,0,3.0,2309,252000.0
109,2628,7,2003,2003,106.0,2,3,1,0.0,764.0,4,764,1626,3,7,0,0,474.0,0,0,1,0,0,0,0,3.0,51,175500.0
110,6406,5,1939,1950,0.0,1,2,1,421.0,690.0,2,868,1558,2,7,1,3,400.0,0,0,0,0,0,0,0,2.0,699,150000.0
111,12342,5,1960,1978,0.0,1,2,1,0.0,978.0,2,1422,1422,2,6,1,2,286.0,0,0,0,0,1,0,0,1.0,1881,139900.0
112,6240,5,1930,1992,0.0,1,2,1,0.0,1078.0,2,1128,1573,2,7,1,3,360.0,0,0,0,0,0,0,0,2.0,1345,162900.0
113,10000,6,1962,1962,261.0,1,2,1,0.0,1116.0,2,1116,1116,2,7,0,0,440.0,0,0,0,0,1,0,0,2.0,166,160000.0
114,9000,2,1947,1950,0.0,1,0,1,0.0,0.0,1,660,660,1,5,0,0,0.0,0,0,0,0,0,0,0,1.0,781,63900.0
115,11088,6,1978,1998,144.0,1,2,1,832.0,1140.0,3,1707,1707,2,7,1,2,479.0,0,0,0,0,0,0,0,2.0,379,184000.0
116,17755,5,1959,1959,132.0,1,2,1,176.0,1466.0,2,1466,1466,1,7,2,3,528.0,0,0,0,0,0,0,0,2.0,2818,149900.0
117,4765,9,2000,2000,260.0,2,3,2,1027.0,1614.0,4,1638,1638,4,7,1,2,495.0,0,0,0,0,1,0,0,3.0,1168,300000.0
118,10532,5,1960,1960,275.0,1,2,2,988.0,988.0,3,1721,1721,2,4,2,2,626.0,0,0,0,0,0,0,0,3.0,1396,145000.0
119,15426,6,1997,1997,0.0,1,3,1,821.0,928.0,4,928,1764,3,7,0,0,470.0,0,0,0,0,0,0,0,4.0,838,231500.0
120,13907,5,1940,1969,0.0,1,2,1,290.0,996.0,4,996,996,2,7,1,3,0.0,0,0,0,0,0,0,0,2.0,1492,108000.0
121,8750,5,1956,1956,0.0,1,2,1,435.0,1202.0,2,1202,1202,2,7,0,0,304.0,0,0,0,0,0,1,0,2.0,637,120000.0
122,9945,5,1961,1961,57.0,1,2,1,827.0,988.0,2,988,988,2,7,0,0,572.0,0,0,0,0,1,0,0,2.0,1826,128500.0
123,8960,5,1927,1950,0.0,1,2,1,0.0,1008.0,3,1028,1028,2,7,1,3,360.0,0,0,0,0,0,0,0,1.0,173,115000.0
124,3500,5,1947,1950,0.0,1,2,1,312.0,720.0,2,720,1284,2,7,0,0,240.0,0,0,0,0,0,0,0,2.0,715,110000.0
125,24572,9,1977,1977,1050.0,2,3,1,410.0,994.0,2,1599,2944,3,7,1,3,864.0,0,0,0,0,0,0,0,4.0,1183,150000.0
126,9056,8,2004,2004,0.0,2,4,2,0.0,707.0,4,707,1414,3,7,1,3,403.0,0,0,0,0,0,0,0,3.0,2433,178000.0
127,12320,7,1932,1990,0.0,1,2,1,0.0,637.0,4,959,1609,3,7,2,3,579.0,1,0,0,0,0,0,0,2.0,2866,199500.0
128,8238,6,1997,1998,0.0,1,2,1,700.0,813.0,4,813,1525,2,7,1,2,400.0,0,0,0,0,0,0,0,4.0,2311,183500.0
129,6000,5,1967,1967,0.0,0,3,2,257.0,624.0,4,1092,1656,2,4,1,-1,288.0,0,0,0,0,1,0,0,2.0,1551,126000.0
130,2529,7,1977,1977,0.0,1,3,1,378.0,1055.0,1,1055,1055,2,7,0,0,440.0,0,0,0,0,0,0,0,2.0,1049,148500.0
131,10800,5,1939,2006,0.0,1,2,1,0.0,676.0,4,676,1352,3,7,0,0,720.0,0,0,0,0,0,0,0,3.0,657,149000.0
132,2349,6,1977,1977,0.0,1,3,1,389.0,855.0,2,855,1456,2,7,1,2,440.0,0,0,0,0,0,0,0,3.0,414,137900.0
133,10846,8,1993,1993,0.0,2,3,3,1619.0,1719.0,4,1719,1719,3,7,2,3,473.0,0,0,0,0,0,1,0,4.0,1181,324000.0
134,5604,5,1925,1950,0.0,1,2,1,468.0,864.0,2,864,864,2,7,0,0,0.0,0,0,0,0,0,0,0,2.0,1514,98000.0
135,1680,6,1973,1973,359.0,1,2,1,458.0,483.0,2,483,987,2,7,0,0,264.0,0,0,0,0,0,0,0,3.0,1040,103400.0
136,6342,5,1875,1996,0.0,1,2,1,0.0,780.0,3,780,1020,2,7,0,0,0.0,0,0,0,0,0,0,0,1.0,216,94000.0
137,4590,8,2006,2006,108.0,2,3,2,24.0,1554.0,4,1554,1554,3,7,1,3,627.0,0,0,1,0,0,0,0,2.0,1720,209500.0
138,18062,10,2006,2006,662.0,3,4,3,0.0,1528.0,4,1528,3390,4,7,1,4,758.0,1,0,0,1,1,0,1,4.0,2331,545224.0
139,12900,6,1912,2009,0.0,2,2,1,0.0,780.0,4,780,1560,3,7,0,0,0.0,0,0,0,0,0,0,0,2.0,204,159900.0
140,19138,4,1951,1951,0.0,1,2,1,120.0,864.0,4,864,864,2,7,0,0,400.0,0,0,0,0,0,0,0,1.0,19,141000.0
141,8658,6,2000,2000,0.0,1,3,1,732.0,982.0,4,1008,1889,2,7,1,2,431.0,0,0,0,0,0,0,0,3.0,2438,215000.0
142,6897,5,1962,2010,0.0,1,2,1,659.0,1040.0,4,1040,1040,2,7,0,0,260.0,0,0,0,0,0,0,0,3.0,89,127000.0
143,9525,5,1954,1998,0.0,1,2,2,954.0,1172.0,2,1172,1172,2,7,0,0,366.0,0,0,0,0,0,0,0,2.0,240,128000.0
144,12853,8,2010,2010,0.0,2,4,1,1032.0,1642.0,4,1418,1418,3,7,1,3,852.0,0,0,0,0,0,0,1,3.0,105,267916.0
145,6240,6,1931,1950,0.0,1,2,1,425.0,884.0,2,959,1367,2,7,1,3,560.0,0,0,0,0,0,0,0,1.0,2020,127500.0
146,7301,7,2003,2003,500.0,2,0,1,0.0,0.0,4,495,1922,3,7,1,4,672.0,0,0,0,0,0,0,0,3.0,888,198500.0
147,12090,6,1981,1981,210.0,1,3,1,588.0,1422.0,2,1422,1422,3,7,1,2,576.0,0,0,0,0,0,0,0,2.0,1019,175500.0
148,8826,7,2000,2000,144.0,2,3,1,841.0,985.0,4,985,1842,3,7,1,2,486.0,0,0,0,0,0,0,0,4.0,2132,217500.0
149,8094,4,1915,1950,0.0,1,2,1,0.0,888.0,4,888,1962,2,7,1,2,572.0,0,0,0,0,0,0,0,2.0,203,149500.0
150,10710,5,1966,2004,165.0,2,2,1,644.0,864.0,4,1120,1120,2,7,1,2,656.0,0,0,0,0,1,0,0,2.0,420,148800.0
151,16056,9,2005,2006,208.0,2,4,2,240.0,1992.0,4,1992,2868,4,7,1,3,716.0,0,0,0,1,1,0,1,4.0,2333,556581.0
152,8400,6,1957,1957,0.0,1,2,1,189.0,1478.0,3,1478,1478,2,7,2,3,442.0,0,0,0,0,1,1,0,3.0,632,156500.0
153,11250,7,1995,1996,0.0,2,3,2,685.0,930.0,4,950,1995,3,7,1,2,610.0,0,0,0,0,0,0,0,4.0,2800,237000.0
154,7535,5,1958,1985,0.0,1,2,1,111.0,912.0,1,912,912,2,7,0,0,297.0,0,0,0,0,0,0,0,2.0,1885,120000.0
155,12216,6,2005,2005,0.0,1,3,2,918.0,1326.0,4,1326,1326,3,7,0,0,388.0,0,0,0,0,0,0,0,3.0,1734,203000.0
156,3701,8,1987,1987,0.0,1,3,1,0.0,1191.0,2,1204,1204,2,7,0,0,461.0,0,0,0,1,0,0,0,2.0,2327,130000.0
157,9760,6,1964,1964,360.0,1,2,3,674.0,780.0,2,798,1611,2,7,0,0,442.0,0,0,0,0,0,0,0,3.0,1282,167900.0
158,9873,4,1970,1970,160.0,1,2,2,789.0,960.0,2,960,960,2,7,0,0,576.0,0,0,0,0,0,0,0,2.0,2688,129000.0
159,10011,5,1957,1996,64.0,1,2,1,360.0,1070.0,2,1236,1236,3,6,1,1,447.0,0,0,0,0,0,0,0,2.0,2581,134450.0
160,25339,5,1918,2007,0.0,1,2,1,0.0,816.0,4,1416,1416,3,7,0,0,576.0,0,0,0,0,0,0,0,2.0,2067,112000.0
161,8883,7,1988,1988,360.0,2,3,1,608.0,929.0,4,946,1873,3,7,1,2,619.0,0,0,0,0,0,0,0,4.0,2115,207000.0
162,3000,5,1922,1950,0.0,1,2,1,0.0,1040.0,2,1088,2128,2,0,0,0,0.0,0,0,0,0,1,0,0,2.0,754,62500.0
163,2448,7,2003,2004,106.0,2,3,1,573.0,764.0,4,764,1626,3,7,0,0,474.0,0,0,1,0,0,0,0,4.0,1079,154000.0
164,7100,5,1957,1957,0.0,1,2,1,708.0,816.0,2,816,816,2,7,0,0,308.0,0,0,0,0,0,0,0,2.0,2615,129900.0
165,2592,5,1976,1976,0.0,1,3,1,129.0,536.0,2,536,1112,2,7,0,0,336.0,0,0,0,0,0,0,0,2.0,329,85000.0
166,5700,7,1926,1950,0.0,1,2,1,0.0,572.0,2,572,1111,2,7,1,3,288.0,0,0,0,0,0,0,0,1.0,1320,116900.0
167,2289,6,1978,1978,0.0,1,2,1,311.0,855.0,2,855,1441,2,7,1,2,440.0,0,0,0,0,0,0,0,3.0,416,148500.0
168,12180,4,1941,1950,0.0,1,3,1,348.0,672.0,1,672,924,1,7,0,0,280.0,0,0,0,0,0,0,0,2.0,284,80000.0
169,7400,5,1984,1984,0.0,1,3,2,104.0,1060.0,2,1126,1126,2,7,0,0,506.0,0,0,0,0,0,0,0,2.0,1385,152000.0
170,8842,5,1954,1954,0.0,1,1,1,0.0,381.0,4,992,992,2,7,0,0,319.0,0,0,0,0,0,0,0,1.0,275,155891.0
171,8850,6,1920,1950,0.0,1,2,1,0.0,768.0,4,752,1376,3,7,0,0,576.0,0,0,0,0,0,0,0,1.0,2024,165000.0
172,9215,7,2009,2010,0.0,2,3,1,0.0,1218.0,4,1218,1218,3,7,0,0,676.0,0,0,0,0,1,0,1,2.0,68,204500.0
173,9480,5,1942,1995,224.0,1,2,1,386.0,728.0,4,888,1644,3,7,2,3,312.0,0,0,0,0,0,0,0,2.0,1910,146500.0
174,11880,7,1978,1978,206.0,1,3,1,704.0,1271.0,2,1601,1601,2,7,1,2,478.0,0,0,0,0,0,0,0,2.0,381,157000.0
175,10800,7,1890,1999,0.0,1,2,2,0.0,1313.0,3,1313,2495,2,7,1,3,342.0,0,0,0,0,0,0,0,2.0,1323,184000.0
